OID,Year,Date,ID,UTMEast,UTMNorth,Sex,Weight,SVL,TailLength,TotalLength,TailStatus,ReproStatus,#FolliclesOrEggs
16784,2010,2010-01-18,SNOWID1608,520220,2815124,Male,9800,259.0,,,,,
16785,2010,2010-01-18,SNOWID1593,520226,2815124,Female,23500,337.0,,,,,
16786,2010,2010-01-14,SNOWID1588,538475,2809093,Female,10870,236.0,,,,,
16787,2010,2010-01-13,SNOWID1586,532961,2842232,Male,4500,183.5,,,,,
16788,2010,2010-01-13,SNOWID1585,532788,2847266,Male,6720,210.0,,,,,
16789,2010,2010-01-13,SNOWID1584,523411,2845456,Female,13310,274.0,,,,,
16790,2010,2010-01-13,SNOWID1587,552178,2845821,Female,16690,275.5,,,,,
16791,2010,2010-01-12,SNOWID1614,467289,2863797,Male,6290,201.0,,,,,
16792,2010,2010-01-12,SNOWID1582,540378,2860889,Male,16140,300.0,,,,,
16793,2010,2010-01-08,SNOWID1572,526353,2849394,Male,3440,174.5,,,,,
16794,2010,2010-01-08,SNOWID1577,532812,2846533,Male,5030,187.5,,,,,
16795,2010,2010-01-08,SNOWID1576,532824,2846117,Male,6600,217.0,,,,,
16796,2010,2010-01-08,SNOWID1578,497689,2854816,Male,6700,230.0,,,,,
16797,2010,2010-01-08,SNOWID1573,528676,2849400,Female,12710,262.0,,,,,
16798,2010,2010-01-08,SNOWID1575,532723,2849043,Female,55260,416.0,,,,,
16799,2010,2010-01-07,SNOWID1570,550316,2848661,Male,3240,170.0,,,,,
16800,2010,2010-01-07,SNOWID1569,532990,2841584,Male,10360,260.0,,,,,
16801,2010,2010-01-06,SNOWID1566,525575,2801444,Male,6590,201.0,,,,,
16802,2010,2010-01-06,SNOWID1565,533109,2801502,Male,7120,229.0,,,,,
16803,2010,2010-01-06,SNOWID1568,554252,2773410,Male,10250,248.5,,,,,
16804,2010,2010-01-06,SNOWID1567,555789,2797171,Female,5850,205.5,,,,,
